Longitude,Latitude
11.46875,-34.9756
11.53125,-34.9756
11.59375,-34.9756
11.65625,-34.9756
11.71875,-34.9756
11.78125,-34.9756
11.84375,-34.9756
11.90625,-34.9756
11.96875,-34.9756
12.03125,-34.9756
12.09375,-34.9756
12.15625,-34.9756
12.21875,-34.9756
12.28125,-34.9756
12.34375,-34.9756
12.40625,-34.9756
12.46875,-34.9756
12.53125,-34.9756
12.59375,-34.9756
12.65625,-34.9756
12.71875,-34.9756
12.78125,-34.9756
12.84375,-34.9756
12.90625,-34.9756
12.96875,-34.9756
13.03125,-34.9756
13.09375,-34.9756
13.15625,-34.9756
13.21875,-34.9756
13.28125,-34.9756
13.34375,-34.9756
13.40625,-34.9756
13.46875,-34.9756
13.53125,-34.9756
13.59375,-34.9756
13.65625,-34.9756
13.71875,-34.9756
13.78125,-34.9756
13.84375,-34.9756
13.90625,-34.9756
13.96875,-34.9756
14.03125,-34.9756
14.09375,-34.9756
14.15625,-34.9756
14.21875,-34.9756
14.28125,-34.9756
14.34375,-34.9756
14.40625,-34.9756
14.46875,-34.9756
14.53125,-34.9756
14.59375,-34.9756
14.65625,-34.9756
14.71875,-34.9756
14.78125,-34.9756
14.84375,-34.9756
14.90625,-34.9756
14.96875,-34.9756
15.03125,-34.9756
15.09375,-34.9756
15.15625,-34.9756
15.21875,-34.9756
15.28125,-34.9756
15.34375,-34.9756
15.40625,-34.9756
15.46875,-34.9756
15.53125,-34.9756
15.59375,-34.9756
15.65625,-34.9756
15.71875,-34.9756
15.78125,-34.9756
15.84375,-34.9756
15.90625,-34.9756
15.96875,-34.9756
16.03125,-34.9756
16.09375,-34.9756
16.15625,-34.9756
16.21875,-34.9756
16.28125,-34.9756
16.34375,-34.9756
16.40625,-34.9756
16.46875,-34.9756
16.53125,-34.9756
16.59375,-34.9756
16.65625,-34.9756
16.71875,-34.9756
16.78125,-34.9756
16.84375,-34.9756
16.90625,-34.9756
16.96875,-34.9756
17.03125,-34.9756
17.09375,-34.9756
17.15625,-34.9756
17.21875,-34.9756
17.28125,-34.9756
17.34375,-34.9756
17.40625,-34.9756
17.46875,-34.9756
